Neighbourhood,Neighbourhood Id,TMCI,LDIndex,PopMales,LangChin,LangItal,LangKor,LangPort,LangRuss,LangSpan,LangTagalog,LangUrdu,Businesses,ChildCareSpaces,SocialAssistance,GreenSpaces,PollutantsAir,HomePrices,PercentMidCentHRHousehold,SocialHousingUnits,RoadVolume
Old East York,58,134,0.559600088,4435,345,185,35,50,35,90,220,60,134,88,569,0.293560692,0,581398,10.1,78,0
Danforth-East York,59,156,0.592479488,7985,1095,490,60,120,90,215,260,175,167,214,1049,0.070298427,143,518568,7.6,287,3039.75
Woodbine-Lumsden,60,101,0.492190963,3745,580,125,25,55,35,105,170,40,56,95,582,0.098423722,0,440700,15.2,201,2022.25
Taylor-Massey,61,343,0.772955853,7665,580,45,90,60,110,185,355,675,157,60,2635,0.198037905,22,254151,70.5,353,3575.5
East End-Danforth,62,468,0.432606741,9985,940,205,90,135,75,270,375,350,516,330,1901,0.126726419,0,535867,16.5,1000,0
The Beaches,63,292,0.245249178,10040,245,175,45,75,85,180,85,10,531,167,672,0.614909147,58703,751945,1.6,193,3434.25
Woodbine Corridor,64,239,0.401583171,5640,615,120,45,75,35,135,70,85,146,214,906,0.104449371,1,521549,3.8,841,5104
Greenwood-Coxwell,65,392,0.56769881,6885,1910,155,35,70,20,210,115,400,315,94,1762,0.087044064,1358,490920,6.1,919,2621.5
Danforth,66,262,0.569736679,4605,625,525,45,70,25,100,65,105,414,152,626,0.001837121,0,585093,9.2,715,0
Playter Estates-Danforth,67,146,0.442350904,3760,205,95,30,35,40,140,60,15,301,162,288,0.059229148,508,842668,20.3,192,2725.333333
North Riverdale,68,402,0.449889201,5965,1180,130,25,45,55,140,60,30,327,233,503,0.32216634,0,818592,11.5,163,3522.333333
Blake-Jones,69,221,0.576802592,3815,830,70,20,55,20,85,55,90,133,30,1021,0.017038934,850,571246,9.4,658,0
South Riverdale,70,660,0.603981615,12885,5850,120,70,250,70,270,250,75,1197,224,2695,2.776069153,347833,537087,2,1313,7386.2
Cabbagetown-South St.James Town,71,253,0.490475707,6670,530,90,105,85,160,305,260,35,290,0,986,0.246257383,241,537025,37.4,1434,1741
Regent Park,72,259,0.792616847,5370,1130,30,35,65,35,190,95,125,143,30,2491,0.014814295,0,484444,30.9,2591,0
Moss Park,73,921,0.573821946,9460,750,90,90,105,185,320,180,90,841,110,3510,0.098698665,3692,457524,26.3,3133,7509.333333
North St.James Town,74,326,0.806518762,9260,1035,50,325,135,305,550,1560,340,243,55,2681,0.025782697,0,489366,72.4,1715,2377.666667
Church-Yonge Corridor,75,1006,0.595594896,15685,2145,220,495,235,540,815,370,160,2443,45,3090,0.061520785,1092,410703,43.1,3653,4183.727273
Bay Street Corridor,76,1017,0.752553801,9315,3220,155,815,165,265,390,175,220,4324,30,678,0.144315022,135026,457787,32,521,4701.1
Waterfront Communities-The Island,77,1393,0.58757678,21735,3730,365,615,350,645,1010,475,290,2899,130,2864,2.567218437,92338,416759,12.3,3990,5771.68
Kensington-Chinatown,78,869,0.753034223,9125,6070,65,180,340,95,325,190,60,1883,247,2523,0.066166444,1156,477989,32.1,2597,4152.777778
University,79,296,0.615891901,3810,925,95,175,330,60,160,40,20,483,15,259,0.005829924,27906,773920,14.9,359,0
Palmerston-Little Italy,80,261,0.572853477,6830,895,815,125,1195,55,375,55,35,521,159,665,0.03884142,0,781568,2.8,262,2291.666667
Trinity-Bellwoods,81,361,0.705007689,8310,3115,540,30,2885,30,190,60,15,715,332,1415,0.17939058,558,723909,0,42,4139.6
Niagara,82,417,0.499369006,10320,1035,215,165,725,195,565,230,60,591,65,1246,0.361737869,4819,398281,10.3,2052,5347.625
Dufferin Grove,83,348,0.707595257,5685,690,215,180,1955,70,550,110,80,375,80,1303,0.078001154,6067,502736,15.4,41,3287.2
Little Portugal,84,296,0.658093905,5910,945,170,35,3085,45,260,65,5,344,55,983,0.016534602,4259,514960,7.1,386,6815.5
South Parkdale,85,634,0.703912878,10810,505,85,80,300,165,535,820,60,564,70,4473,0.45833344,43033,500054,48.4,1545,6156.444444
Roncesvalles,86,386,0.593308877,7430,555,115,65,505,90,200,145,35,540,150,2268,0.039249551,156,581425,17.1,501,4172
High Park-Swansea,87,232,0.538544589,10030,320,210,130,210,385,355,120,30,448,229,1680,1.832356973,0,622206,12.4,473,4831.9
High Park North,88,309,0.646882074,10100,590,195,420,325,930,605,170,45,254,241,1054,0.058883025,0,609689,47.7,661,2299.333333
Runnymede-Bloor West Village,89,165,0.466757723,4565,190,165,40,115,50,140,70,10,334,220,251,0.012453777,1363,666204,0,6,2667.5
Junction Area,90,304,0.609884639,6820,565,175,65,780,105,500,290,35,631,30,1155,0.09520802,109791,532997,0.3,59,5993.6
Weston-Pellam Park,91,300,0.739573478,6015,310,665,15,2770,25,860,130,20,178,84,1754,0.036219298,123,382119,8.8,695,2896.8
Corso Italia-Davenport,92,264,0.73469712,6710,295,1855,25,3035,20,1040,190,20,420,105,1294,0.126546218,0,502819,0,93,3832.833333
Dovercourt-Wallace Emerson-Juncti,93,743,0.719049512,17225,2255,1260,230,6535,160,1395,345,145,890,179,3563,0.236699059,10190,512789,4,1375,3898.416667
Wychwood,94,220,0.601919111,6460,630,555,105,795,85,540,205,0,379,84,911,0.064319715,4502,656868,14.2,1154,3112.5
Annex,95,604,0.488581691,13745,1370,520,375,355,315,555,135,90,2328,201,1150,0.11249685,188,993491,32.2,779,5810.5
Casa Loma,96,91,0.402803118,4885,255,125,35,70,140,220,145,10,258,142,189,0.173001423,575,1083381,35.6,101,3815.5
Yonge-St.Clair,97,111,0.395199103,5235,250,120,55,55,180,230,95,10,468,20,283,0.02470925,0,995616,39.2,0,7116
Rosedale-Moore Park,98,237,0.369962628,9410,515,160,150,80,185,310,185,40,683,162,499,0.793670753,0,1265389,31.6,573,3646.62069
Mount Pleasant East,99,135,0.405103095,7415,380,125,105,75,180,215,135,20,463,82,288,0.087790047,446,815247,21.1,333,5380.714286
Yonge-Eglinton,100,229,0.395542599,5045,280,100,145,45,85,235,115,10,690,45,189,0.127074744,0,975449,24.5,149,5391
Forest Hill South,101,92,0.360459075,4980,180,95,30,40,120,155,245,0,175,30,134,0.120135194,691,1585984,28.8,233,5855
Forest Hill North,102,155,0.598462442,5585,225,145,85,85,485,475,750,20,144,110,633,0.108893972,73,957688,55.9,325,5872.555556
Lawrence Park South,103,191,0.302540626,7170,270,155,95,35,110,170,205,5,167,140,240,0.193230593,1,1215390,5.1,113,4398.111111
Mount Pleasant West,104,355,0.596975983,12895,1080,225,610,260,740,900,495,70,1129,255,1343,0.047800447,248,520032,47.9,1443,5827.571429
Lawrence Park North,105,141,0.332256057,6915,355,180,165,60,135,140,145,15,381,212,166,0.040585045,202,980831,0,110,4704.142857
Humewood-Cedarvale,106,139,0.519463521,6440,220,350,120,255,140,605,780,20,139,108,698,0.223360898,0,800442,21.4,445,3941
Oakwood Village,107,307,0.710655156,10005,570,1810,110,1970,165,1405,1070,35,255,168,2412,0.049076804,0,482040,13.7,966,4503.666667
Briar Hill-Belgravia,108,259,0.811962441,6590,345,1020,65,1100,600,800,1190,25,477,25,1432,0.079464109,2611,373937,36.3,328,11837.28571
Caledonia-Fairbank,109,170,0.747543152,4825,110,780,15,2745,20,765,395,20,92,75,1153,0.029773559,0,400532,2.1,16,5796
Keelesdale-Eglinton West,110,283,0.755119216,5225,225,775,5,2755,25,740,310,60,266,25,1653,0.135732361,2750,373029,4.1,349,2186.666667
Rockcliffe-Smythe,111,404,0.740570254,10750,475,700,65,2540,120,2035,365,80,314,110,3422,0.552890991,653,353967,29.1,1252,5589.25
Beechborough-Greenbrook,112,222,0.641303435,2990,45,410,15,795,10,285,170,15,128,22,1478,0.207527138,3911,440179,6.9,537,5102
Weston,113,554,0.61487124,8545,230,650,40,655,55,1400,270,60,536,157,4149,0.240153499,96336,280187,38,1048,4369.25
Lambton Baby Point,114,81,0.540353798,3695,85,95,45,125,105,205,40,0,66,19,1049,0.440985674,0,806452,16.3,644,2337.857143
Mount Dennis,115,302,0.695403325,6210,295,210,175,800,60,1290,390,60,184,109,2937,0.672325001,156,273418,27.7,864,13491.5
Steeles,116,205,0.821580526,12010,15735,260,90,30,25,85,350,105,237,105,1549,0.450219119,2596,440688,15.3,0,3711.3125
L'Amoreaux,117,367,0.848396954,21085,15065,715,180,100,100,320,1125,510,443,126,3848,0.598731588,251,355438,36.3,1552,2482.52381
Tam O'Shanter-Sullivan,118,292,0.821252036,12840,8220,340,170,70,65,315,820,780,343,192,1973,0.348352702,0,411143,30.1,985,2522.181818
Wexford/Maryvale,119,620,0.690990962,13015,1255,565,155,145,65,515,1705,400,945,140,3014,0.47116816,50349,422689,13.4,578,3539.25
Clairlea-Birchmount,120,583,0.708584471,12095,1800,460,60,120,75,350,1360,740,831,84,2688,0.418068747,445019,387912,16.9,273,3601
Oakridge,121,376,0.766588866,6590,640,120,40,50,55,125,455,460,201,54,2967,0.25345683,416,347446,51.9,1464,3205
Birchcliffe-Cliffside,122,411,0.370008961,10455,740,245,20,120,70,220,345,60,345,110,1789,0.616075255,0,522905,5.1,870,2636.263158
Cliffcrest,123,289,0.50339459,7645,560,200,40,65,90,200,365,100,200,70,1342,1.432132979,131557,542218,18.9,497,3779.625
Kennedy Park,124,461,0.725584944,8190,1145,315,35,75,25,265,1305,225,261,82,2583,0.119007268,36,293600,27.6,1661,2876.75
Ionview,125,173,0.707344308,6205,800,140,20,45,15,170,1100,165,148,45,1675,0.13033001,0,330109,50.2,332,2664
Dorset Park,126,419,0.798829603,11520,2410,205,50,70,35,290,1310,870,969,52,2803,0.173972028,496649,279189,32.6,510,3959
Bendale,127,546,0.768222994,13455,3585,300,175,110,45,335,1445,970,853,200,2729,0.981964797,55313,329355,12,508,4499.117647
Agincourt South-Malvern West,128,380,0.839875918,10630,9370,415,70,60,25,130,500,395,1378,135,1542,0.2397495,236731,332710,14.8,172,3773.071429
Agincourt North,129,296,0.829436197,14445,14710,150,55,70,20,145,780,350,353,130,1930,0.250098151,16092,375307,5.9,77,3584.058824
Milliken,130,325,0.807339661,13055,16265,45,30,20,0,75,675,235,2090,220,1921,0.512021903,222837,387879,4,247,3917.571429
Rouge,131,534,0.644308811,22275,1455,255,90,125,35,300,2365,1230,877,210,2994,14.27145522,56778,426850,4.5,522,4300.913043
Malvern,132,729,0.708640776,21560,2885,105,70,100,15,445,2305,2350,625,81,5078,0.690798137,66889,256488,7.9,927,3766.772727
Centennial Scarborough,133,107,0.47340375,6355,405,250,35,80,40,85,360,175,126,80,399,0.830824845,311,491024,0,139,2994.571429
Highland Creek,134,207,0.637194462,6435,685,305,70,85,15,70,465,215,91,110,724,0.194054785,10030,529278,0,3,3516.833333
Morningside,135,330,0.655450155,8445,585,80,70,40,15,185,1075,610,108,28,2534,1.854249005,0,289646,25,460,4873.142857
West Hill,136,749,0.556880414,12560,575,330,60,90,65,435,985,425,424,153,4974,1.993607468,371626,308229,31.1,2089,3824.181818
Woburn,137,808,0.770734357,26005,3560,430,125,180,70,615,2075,1740,1073,214,6747,1.354011781,2357,316584,27.8,2660,4656.6
Eglinton East,138,492,0.715061035,10580,915,255,55,90,30,325,1540,340,296,143,4171,0.233048669,4410,274020,48.8,865,3086
Scarborough Village,139,474,0.697737056,7825,330,160,35,50,40,250,505,865,228,217,4133,0.28632843,0,356096,49.2,922,2111.6
Guildwood,140,113,0.414015747,4550,185,110,30,40,50,95,165,25,67,171,309,0.697039334,0,444309,15.3,0,2114.875
