Neighbourhood,Neighbourhood Id,TMCI,LDIndex,PopMales,Businesses,ChildCareSpaces,SocialAssistance,GreenSpaces,PollutantsAir,HomePrices,PercentMidCentHRHousehold,SocialHousingUnits,RoadVolume
Briar Hill-Belgravia,108,259,0.811962441,6590,477,25,1432,0.079464109,2611,373937,36.3,328,11837.28571
Caledonia-Fairbank,109,170,0.747543152,4825,92,75,1153,0.029773559,0,400532,2.1,16,5796
Keelesdale-Eglinton West,110,283,0.755119216,5225,266,25,1653,0.135732361,2750,373029,4.1,349,2186.666667
Rockcliffe-Smythe,111,404,0.740570254,10750,314,110,3422,0.552890991,653,353967,29.1,1252,5589.25
Beechborough-Greenbrook,112,222,0.641303435,2990,128,22,1478,0.207527138,3911,440179,6.9,537,5102
Weston,113,554,0.61487124,8545,536,157,4149,0.240153499,96336,280187,38,1048,4369.25
Lambton Baby Point,114,81,0.540353798,3695,66,19,1049,0.440985674,0,806452,16.3,644,2337.857143
Mount Dennis,115,302,0.695403325,6210,184,109,2937,0.672325001,156,273418,27.7,864,13491.5
Steeles,116,205,0.821580526,12010,237,105,1549,0.450219119,2596,440688,15.3,0,3711.3125
L'Amoreaux,117,367,0.848396954,21085,443,126,3848,0.598731588,251,355438,36.3,1552,2482.52381
Tam O'Shanter-Sullivan,118,292,0.821252036,12840,343,192,1973,0.348352702,0,411143,30.1,985,2522.181818
Wexford/Maryvale,119,620,0.690990962,13015,945,140,3014,0.47116816,50349,422689,13.4,578,3539.25
Clairlea-Birchmount,120,583,0.708584471,12095,831,84,2688,0.418068747,445019,387912,16.9,273,3601
Oakridge,121,376,0.766588866,6590,201,54,2967,0.25345683,416,347446,51.9,1464,3205
Birchcliffe-Cliffside,122,411,0.370008961,10455,345,110,1789,0.616075255,0,522905,5.1,870,2636.263158
Cliffcrest,123,289,0.50339459,7645,200,70,1342,1.432132979,131557,542218,18.9,497,3779.625
Kennedy Park,124,461,0.725584944,8190,261,82,2583,0.119007268,36,293600,27.6,1661,2876.75
Ionview,125,173,0.707344308,6205,148,45,1675,0.13033001,0,330109,50.2,332,2664
Dorset Park,126,419,0.798829603,11520,969,52,2803,0.173972028,496649,279189,32.6,510,3959
Bendale,127,546,0.768222994,13455,853,200,2729,0.981964797,55313,329355,12,508,4499.117647
Agincourt South-Malvern West,128,380,0.839875918,10630,1378,135,1542,0.2397495,236731,332710,14.8,172,3773.071429
Agincourt North,129,296,0.829436197,14445,353,130,1930,0.250098151,16092,375307,5.9,77,3584.058824
Milliken,130,325,0.807339661,13055,2090,220,1921,0.512021903,222837,387879,4,247,3917.571429
Rouge,131,534,0.644308811,22275,877,210,2994,14.27145522,56778,426850,4.5,522,4300.913043
Malvern,132,729,0.708640776,21560,625,81,5078,0.690798137,66889,256488,7.9,927,3766.772727
Centennial Scarborough,133,107,0.47340375,6355,126,80,399,0.830824845,311,491024,0,139,2994.571429
Highland Creek,134,207,0.637194462,6435,91,110,724,0.194054785,10030,529278,0,3,3516.833333
Morningside,135,330,0.655450155,8445,108,28,2534,1.854249005,0,289646,25,460,4873.142857
West Hill,136,749,0.556880414,12560,424,153,4974,1.993607468,371626,308229,31.1,2089,3824.181818
Woburn,137,808,0.770734357,26005,1073,214,6747,1.354011781,2357,316584,27.8,2660,4656.6
Eglinton East,138,492,0.715061035,10580,296,143,4171,0.233048669,4410,274020,48.8,865,3086
Scarborough Village,139,474,0.697737056,7825,228,217,4133,0.28632843,0,356096,49.2,922,2111.6
Guildwood,140,113,0.414015747,4550,67,171,309,0.697039334,0,444309,15.3,0,2114.875
